"gene","logFC_cellbender","FDR_cellbender","logFC_cellranger","FDR_cellranger","concordant_DE"
"URI1",-0.150649757121306,0.133289347381273,-0.12399511320682,0.268341051127813,FALSE
"CAMK2N1",0.309048720763468,0.133348850875957,0.443297870196767,0.0447720023389393,FALSE
"USP40",0.141626340213614,0.133348850875957,0.115188877505698,0.300803490013644,FALSE
"HSPD1",-0.296742033525833,0.13360032471899,-0.260620389076097,0.132910209742832,FALSE
"MICU3",0.112987756861298,0.133750967436144,0.154843496036158,0.0763401629077016,FALSE
"TSPAN31",-0.15742757199803,0.133795594456893,-0.0862217936443385,0.520927557859981,FALSE
"FGFR1OP",0.249602628639516,0.133828668250116,0.208497000479952,0.222050699691975,FALSE
"NFU1",0.224718823352999,0.13384320022133,0.199990487589557,0.216149422129342,FALSE
"WDR48",0.220867143300309,0.13384320022133,0.269081362164055,0.0944291592795634,FALSE
"AC093019.2",-0.281093054385603,0.134042652001672,-0.268160953264556,0.188835704116189,FALSE
"RASA3",0.446751677003121,0.134042652001672,0.0628935779242954,0.848746821799145,FALSE
